index,term_number,knesset_num
א-ד`אהר אחמד,1,4
א-ד`אהר אחמד,2,5
א-זועבי סיף א-דין,1,1
א-זועבי סיף א-דין,2,2
א-זועבי סיף א-דין,3,3
א-זועבי סיף א-דין,4,6
א-זועבי סיף א-דין,5,7
א-זועבי סיף א-דין,6,8
א-זועבי סיף א-דין,7,9
א-זועבי עבד אל-עזיז,1,6
א-זועבי עבד אל-עזיז,2,7
א-זועבי עבד אל-עזיז,3,8
א-נאשף מחמוד,1,4
אבו-רביעה חמאד,1,8
אבו-רביעה חמאד,2,9
אבו-רוכן לביב חוסיין,1,4
אבו מערוף עבדאללה,1,20
אבו עראר טלב,1,19
אבו עראר טלב,2,20
אבו רחמון ניבין,1,20
אבו שחאדה סמי,1,22
אבו שחאדה סמי,2,23
אבו שחאדה סמי,3,24
אבוחצירא אהרן,1,8
אבוחצירא אהרן,2,9
אבוחצירא אהרן,3,10
אבוחצירא אהרן,4,11
אבוחצירא אהרן,5,12
אבוטבול משה,1,22
אבוטבול משה,2,23
אבוטבול משה,3,24
אבטבי אליעזר,1,8
אבטבי אליעזר,2,9
אבטבי אליעזר,3,10
אבידר אלי,1,21
אבידר אלי,2,22
אבידר אלי,3,23
אבידר אלי,4,24
אביזוהר מאיר,1,7
אביטל דורון,1,18
אביטל קולט,1,15
אביטל קולט,2,16
אביטל קולט,3,17
אביטל שמואל,1,13
אבן אבא,1,4
אבן אבא,2,5
אבן אבא,3,6
אבן אבא,4,7
אבן אבא,5,8
אבן אבא,6,9
אבן אבא,7,10
אבן אבא,8,11
אבן עוזי,1,15
אבניאל בנימין,1,2
אבניאל בנימין,2,3
אבניאל בנימין,3,4
אבניאל בנימין,4,5
אבניאל בנימין,5,6
אבנרי אורי,1,6
אבנרי אורי,2,7
אבנרי אורי,3,9
אבסדזה נינו,1,18
אברהם בלילא רוחמה,1,16
אברהם בלילא רוחמה,2,17
אברהם בלילא רוחמה,3,18
אבריאל אהוד,1,3
אברמוב שניאור זלמן,1,4
אברמוב שניאור זלמן,2,5
אברמוב שניאור זלמן,3,6
אברמוב שניאור זלמן,4,7
אברמוב שניאור זלמן,5,8
אברמוביץ יהודה מאיר,1,7
אברמוביץ יהודה מאיר,2,8
אברמוביץ יהודה מאיר,3,9
אגבאריה עפו,1,18
אגבאריה עפו,2,19
אדטו רחל,1,18
אדלשטיין יולי יואל,1,14
אדלשטיין יולי יואל,2,15
אדלשטיין יולי יואל,3,16
אדלשטיין יולי יואל,4,17
אדלשטיין יולי יואל,5,18
אדלשטיין יולי יואל,6,19
אדלשטיין יולי יואל,7,20
אדלשטיין יולי יואל,8,21
אדלשטיין יולי יואל,9,22
אדלשטיין יולי יואל,10,23
אדלשטיין יולי יואל,11,24
אדמסו אללי,1,18
אדרי יעקב,1,16
אדרי יעקב,2,17
אדרי יעקב,3,18
אדרי ליאור,1,19
אדרי רפאל,1,10
אדרי רפאל,2,11
אדרי רפאל,3,12
אדרי רפאל,4,13
אדרי רפאל,5,14
אהרונוביץ יצחק,1,17
