name,username,organization,gender,job
Weiss,danawt,N12,Female,Journalist
Segal_Amit,amit_segal,N12,Male,Journalist
Nir,arad_nir,N12,Male,Journalist
Liel,DaphnaLiel,N12,Female,Journalist
Simchayoff,Elad_Si,N12,Male,Journalist
Cherki,yaircherki,N12,Male,Journalist
Avraham,yaronavraham,N12,Male,Journalist
Marciano,KerenMarc,N12,Female,Journalist
Levi,LeviYonit,N12,Female,Journalist
Cushmaro,DanyCushmaro,N12,Male,Journalist
Hemo,ohadh1,N12,Male,Journalist
Reshef,ReshefRafi,N12,Male,Journalist
Drucker,RavivDrucker,Reshet,Male,Journalist
Kra,baruchikra,Reshet,Male,Journalist
Hasson_Ayala,AyalaHasson,Reshet,Female,Journalist
Ovadia,sefiova,Reshet,Male,Journalist
Ben-Haim,AvishayBenHaim,Reshet,Male,Journalist
Glickman,aviadglickman,Reshet,Male,Journalist
Ish-Shalom,tamarishshalom,Reshet,Female,Journalist
Lerer,guylerer,Reshet,Male,Journalist
Herman,D0ronhe,Reshet,Male,Journalist
Heller,OrHeller,Reshet,Male,Journalist
Boker,bokeralmog,Reshet,Male,Journalist
Novick,akivanovick,Kann,Male,Journalist
Lampel,DoriaLampel,Kann,Female,Journalist
Menashe,ela1949,Kann,Female,Journalist
Almog,almog_tamar,Kann,Female,Journalist
Amsterdamski,amsterdamski2,Kann,Male,Journalist
Krakovsky,YoavYoavkrak,Kann,Male,Journalist
Shemesh,shemeshmicha,Kann,Male,Journalist
Ben-Ovadia,talibo8,Kann,Female,Journalist
Segal_Erel,ErelSegal,Arutz_20,Male,Journalist
Magal,YinonMagal,Arutz_20,Male,Journalist
Riklin,Riklin10,Arutz_20,Male,Journalist
Golan,BoazGolan,Arutz_20,Male,Journalist
Levinson,chaimlevinson,Haaretz,Male,Journalist
Landau,noa_landau,Haaretz,Female,Journalist
Breiner,JoshBreiner,Haaretz,Male,Journalist
Hasson_Nir,nirhasson,Haaretz,Male,Journalist
Lee,VeredLee1,Haaretz,Female,Journalist
Tucker,nati_tucker,The_Marker,Male,Journalist
Rolnik,grolnik,The_Marker,Male,Journalist
Maor,DafnaMaor,The_Marker,Female,Journalist
Linder,RonnyLinder,The_Marker,Female,Journalist
Peretz_Sami,peretzsami,The_Marker,Male,Journalist
Avriel,EytanAvriel,The_Marker,Male,Journalist
Megiddo,GurMegiddo,The_Marker,Male,Journalist
Liebskind,KalmanLiebskind,Maariv,Male,Journalist
Caspit,BenCaspit,Maariv,Male,Journalist
Rayva-Barsky,AnnaBarskiy,Maariv,Female,Journalist
Eyal,Nadav_Eyal,Yediot,Male,Journalist
Attali,attaliami,Yediot,Male,Journalist
Karni,YuvalKarni,Yediot,Male,Journalist
Yehoshua,YehoshuaYosi,Yediot,Male,Journalist
Shlezinger,judash0,Israel_Hayom,Male,Journalist
Bismuth,BismuthBoaz,Israel_Hayom,Male,Journalist
Bigman,akibigman,Israel_Hayom,Male,Journalist
Tuchfeld,tuchfeld,Israel_Hayom,Male,Journalist
Kahana_Ariel,arik3000,Israel_Hayom,Male,Journalist
Allon,gideonallon,Israel_Hayom,Male,Journalist
Zwick,giladzw,Israel_Hayom,Male,Journalist
Segal_Haggai,haggai_segal,Makor_Rishon,Male,Journalist
Schnabel,ariel_schnabel,Makor_Rishon,Male,Journalist
German,ataragerman1,Makor_Rishon,Female,Journalist
Ifrach,yehuday30,Makor_Rishon,Male,Journalist
Goldclang,orlygogo,Makor_Rishon,Female,Journalist
Grinzaig,avishaigrinzaig,Globes,Male,Journalist
Schneider,talschneider,Globes,Female,Journalist
Avitan-Cohen,Shiritc,Globes,Female,Journalist
Maanit,chenmaanit7,Globes,Male,Journalist
Neubach,kereneubach,Reshet_Bet,Female,Journalist
Lieberman,asaf_lib,Reshet_Bet,Male,Journalist
Kam,ZeevKam,Reshet_Bet,Male,Journalist
Deckel,YaronDeckel,Reshet_Bet,Male,Journalist
Shnerb,IshayShnerb,Galatz,Male,Journalist
Shtaif,hadasshtaif,Galatz,Female,Journalist
Zror,RinoZror,Galatz,Male,Journalist
Canetti,Sykocan,Galatz,Female,Journalist
Barcai,razibarcay,Galatz,Male,Journalist
Cozin,yanircozin,Galatz,Male,Journalist
Shalev,talshalev1,Walla,Female,Journalist
Ravid,BarakRavid,Walla,Male,Journalist
Nahari,OrenNahari,Walla,Male,Journalist
Adamker,YakiAdamker,Walla,Male,Journalist
Somfalvi,attilus,Ynet,Male,Journalist
Azulay,moran_ynet,Ynet,Female,Journalist
