,politician,party,gender,created_at,id,text
0,Abou-Shahadeh,Meshutefet,Male,2020-12-09 15:25:41,1336693507189248003,כצפוי דיון אמיתי בסוגיית השיוויון והדמוקרטיה מחזיר אותנו לבלד ולמצע הפוליטי שלה מדינת אזרחיה אנו שמחים ש
1,Abou-Shahadeh,Meshutefet,Male,2020-12-09 11:35:28,1336635572417335299,במערכת הפוליטית בישראל פלורליזם מעניין ימין ימין קיצוני ימין אמיתי ימין לייט וימין משיחי רואים בעצמ
2,Abou-Shahadeh,Meshutefet,Male,2020-12-06 20:05:07,1335676664228024320,בממשלה המופתית שנראית ארגון פשע ממשלה שר משטרה שתומך ברוצחים יהודים ניקח ממנו
3,Abou-Shahadeh,Meshutefet,Male,2020-12-06 16:03:32,1335615867653148672,משטרת המחשבות הכיבוש הישראלי מבועתת ממחשבותיו הילד הפלסטיני אמל עוראבי ה16 חטפה אמל סובל ממח
4,Abou-Shahadeh,Meshutefet,Male,2020-12-05 20:13:27,1335316375330566149,מפלצתי לכוון כוונת ולהרוג בדם קר מפלצתי להתייחס לרצח נער צעיר טעות במטרה
5,Abou-Shahadeh,Meshutefet,Male,2020-12-05 09:21:45,1335152367533252609,ali abu alia not first palestinian child be killed by israeli occupation and he wont be last on
6,Abou-Shahadeh,Meshutefet,Male,2020-12-04 19:52:07,1334948618348924934,חברים הרקע לארוע איננו פלילי והמפגע שפוי המשטרה משקרת מדובר בטרור יהודי לאומני וגזעני מכוון נ
7,Abou-Shahadeh,Meshutefet,Male,2020-12-04 15:38:35,1334884816404287489,terror attack against church gethsemane during advent isnt an isolated event but consequence inst
8,Abutbul,Shas,Male,2020-12-09 16:54:51,1336715947823017985,itamarcohen16 חכ משה אבוטבול המדינה צריכה לעשות שילוב בעלי מוגבלויות בתעסוקה
9,Abutbul,Shas,Male,2020-12-08 21:50:54,1336428061324140551,mokednewsil חכ אבוטבול המדינה חייבת לעודד מעסיקים לשלב בעלי מוגבלויות חדשות מבזק לייב
10,Abutbul,Shas,Male,2020-12-08 19:15:53,1336389052929613829,yossitaieb חנכתי בכנסת השדולה שהקמתי לחיזוק הזיקה והחינוך היהודי בתפוצות במעמד שרים חכים נשיאי קהילות מהתפוצות ואישי ציב
11,Abutbul,Shas,Male,2020-12-08 18:20:07,1336375017853120513,kolbarama חכ abutbulm לronen_catz באחת בצהריים מתלהבים מבחירות והצבענו התאריכים הרלוונטים שבועיים
12,Abutbul,Shas,Male,2020-12-08 18:20:05,1336375010936709121,kolbarama חכ abutbulm לronen_catz באחת בצהריים מאיתנו רצה סגר רמת התחלואה ההולכת וגוברת יצרה כורח סגר לילי עדיף
13,Abutbul,Shas,Male,2020-12-07 22:04:20,1336069054059192320,zvikaklein מחר יחול התפוצות בכנסת שורה אירועים השאר יתקיים האירוע הבא השקת השדולה לחיזוק הזיקה והחינוך היהודי בתפוצות
14,Abutbul,Shas,Male,2020-12-07 20:15:30,1336041668106199041,hamechadesh חכ אבוטבול חייבים מנגנון ממשלתי לזיהוי לווים כרוניים ולסייע להם לשקם משק הבית צפו
15,Abutbul,Shas,Male,2020-12-07 18:28:10,1336014654892630022,השקנו בלשכתי הספר החשוב סודות התעבורה שחובר עי עורכי הדין מוטי אורנג ויוסף זינגר בספר ישנם עשרות תשובו
16,Abutbul,Shas,Male,2020-12-05 19:37:37,1335307358847836165,shmuelbenzvi חכ abutbulm משתתף באירוע יט כסלו המוני שנערך עפ ההנחיות במתחם דרייב ענקי בבית שמש מצוייד בחוברת הסברה לשמירה
17,Abutbul,Shas,Male,2020-12-05 17:10:39,1335270372376256518,ariyederi חג גאולה שמח
18,Abutbul,Shas,Male,2020-12-05 15:25:09,1335243820750004225,mitadkenim_770 חבד מתעדכנים במסגרת סיור מיוחד בנוף הגליל חכ משה אבוטבול שס ביקר במעונו רב העיר הרב ישעי הרצל שקיבלו בחמימות
